Date,Id,Open,High,Low,Close,Volume,SUPERT_7_3.0,SUPERTd_7_3.0,SUPERTl_7_3.0,SUPERTs_7_3.0,m_low,m_high,m_close,m_open,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,TwoDayHigh,TwoDayLow,FiveDayHigh,FiveDayLow,SMA100,SMA50,SMA21,SMA14,SMA7,AVVol,RSI,P,S1,S2,S3,R1,R2,R3,m_P,m_S1,m_S2,m_S3,m_R1,m_R2,m_R3,C_m_R1,C_m_R2,C_m_S1,C_m_S2,Tenkan-sen,Kijun-sen,Senkou_Span_A,Senkou_Span_B,Chikou_Span,BB_UL_Per,Support,Resistance,DCL_10_15,DCM_10_15,DCU_10_15
21-04-2022,129,3580,3644,3567.4,3628.65,2281000,3746.357972,-1,3637.897394,3746.357972,3431.55,3779.5,3739.95,3552.5,3522.811788,3687.9075,3853.003212,8.953354306,0.320535921,-26.16092027,-19.36153827,-6.799382005,3644,3480,3739,3439.15,3658.02,3670.48,3652.37,3638.56,3604.73,2425765,47.43,3535.32,3501.49,3446.17,3357.02,3590.64,3624.47,3713.62,3650.33,3521.16,3302.38,2954.43,3869.11,3998.28,4346.23,6.18,9.72,1.31,8.03,3592.325,3637.375,3614.85,3636.8,3375.25,9.37,,3644,3439.15,3637.375,3835.6
22-04-2022,130,3581.1,3617,3571.5,3612.55,1581460,3746.357972,-1,3637.897394,3746.357972,3431.55,3779.5,3739.95,3552.5,3515.067843,3682.915,3850.762157,9.114907999,0.290389658,-25.75238054,-15.16239883,-10.58998171,3644,3567.4,3709.85,3439.15,3657.12,3668.2,3648.75,3635.09,3606.69,2368447.33,46.16,3613.35,3582.7,3536.75,3460.15,3659.3,3689.95,3766.55,3650.33,3521.16,3302.38,2954.43,3869.11,3998.28,4346.23,6.97,10.54,1.43,8.15,3589.075,3637.375,3613.225,3622.6,3364.35,9.55,,,3439.15,3637.375,3835.6
25-04-2022,131,3558,3584,3533.1,3548.2,1960690,3746.357972,-1,3637.897394,3746.357972,3431.55,3779.5,3739.95,3552.5,3498.19113,3672.8325,3847.47387,9.509901171,0.143175899,-30.27215846,-15.7457414,-14.52641706,3617,3533.1,3644,3439.15,3654.97,3663.5,3639.61,3623.51,3592.07,2343148.67,41.39,3600.35,3583.7,3554.85,3509.35,3629.2,3645.85,3691.35,3650.33,3521.16,3302.38,2954.43,3869.11,3998.28,4346.23,7.96,11.56,0.34,6.99,3589.075,3637.375,3613.225,3622.6,3355.2,9.98,,,3439.15,3637.375,3835.6
26-04-2022,132,3575.15,3587.9,3518.15,3546.3,1943470,3746.357972,-1,3637.897394,3746.357972,3431.55,3779.5,3739.95,3552.5,3482.55992,3664.775,3846.99008,9.944134651,0.174903417,-33.6198801,-15.27477043,-18.34510967,3587.9,3518.15,3644,3439.15,3652.81,3658.9,3631.13,3613.21,3580.62,2341083,41.26,3555.1,3526.2,3504.2,3453.3,3577.1,3606,3656.9,3650.33,3521.16,3302.38,2954.43,3869.11,3998.28,4346.23,7.84,11.44,-0.09,6.53,3589.075,3637.375,3613.225,3622.6,3423,10.46,,,3439.15,3637.375,3835.6
27-04-2022,133,3546,3568.45,3506.3,3561.2,1727650,3746.357972,-1,3637.897394,3746.357972,3431.55,3779.5,3739.95,3552.5,3470.996901,3657.45,3843.903099,10.19579755,0.241892195,-34.6710024,-13.06071419,-21.61028822,3587.9,3506.3,3644,3480,3651,3655.07,3624.77,3606.28,3575.77,2344557.33,42.84,3550.78,3513.66,3481.03,3411.28,3583.41,3620.53,3690.28,3650.33,3521.16,3302.38,2954.43,3869.11,3998.28,4346.23,8.43,12.05,-0.42,6.17,3574.5,3637.375,3605.9375,3622.6,3440.15,10.74,,,3439.15,3637.375,3835.6
28-04-2022,134,3588,3604.4,3538.05,3584.3,1703660,3746.357972,-1,3637.897394,3746.357972,3431.55,3779.5,3739.95,3552.5,3463.70219,3651.3975,3839.09281,10.28073828,0.321259519,-33.2566851,-9.317117504,-23.93956759,3604.4,3506.3,3644,3506.3,3649.68,3652.3,3621.09,3603.35,3577.9,2342489.67,45.29,3545.32,3522.19,3483.17,3421.02,3584.34,3607.47,3669.62,3650.33,3521.16,3302.38,2954.43,3869.11,3998.28,4346.23,7.34,10.93,0.48,7.14,3541.575,3637.375,3589.475,3622.6,3430.95,10.84,,,3439.15,3624.225,3809.3
29-04-2022,135,3597,3623.25,3536.85,3546.7,2051120,3746.357972,-1,3637.897394,3746.357972,3431.55,3779.5,3739.95,3552.5,3452.958639,3642.155,3831.351361,10.38925365,0.247735634,-34.76903837,-8.663576624,-26.10546175,3623.25,3536.85,3617,3506.3,3647.64,3648.15,3614.33,3595.79,3570.1,2289156,42.12,3575.58,3546.76,3509.23,3442.88,3613.11,3641.93,3708.28,3650.33,3521.16,3302.38,2954.43,3869.11,3998.28,4346.23,6.79,10.35,0.45,7.1,3541.575,3637.375,3589.475,3622.6,3362.7,10.96,,3623.25,3439.15,3592.325,3745.5
02-05-2022,136,3519.9,3547.95,3492.75,3542.4,1324160,3741.04675,-1,3637.897394,3741.04675,3431.55,3779.5,3739.95,3552.5,3443.909662,3632.2775,3820.645338,10.37188586,0.261430877,-35.90072213,-7.836208302,-28.06451382,3623.25,3492.75,3623.25,3506.3,3645.56,3644.01,3607.79,3588.67,3563.18,2230278.67,41.76,3568.93,3514.61,3482.53,3396.13,3601.01,3655.33,3741.73,3650.33,3521.16,3302.38,2954.43,3869.11,3998.28,4346.23,9.05,12.69,-0.81,5.76,3562,3637.375,3599.6875,3622.6,3404.15,10.94,,,3439.15,3589.075,3739
04-05-2022,137,3538.5,3545.45,3465.3,3479.75,2305820,3728.893642,-1,3637.897394,3728.893642,3431.55,3779.5,3739.95,3552.5,3428.175189,3618.3275,3808.479811,10.51050858,0.135614474,-41.3759647,-10.6491607,-30.726804,3547.95,3465.3,3623.25,3492.75,3642.27,3637.57,3596.15,3574.15,3542.32,2187124.33,36.82,3527.7,3507.45,3472.5,3417.3,3562.65,3582.9,3638.1,3650.33,3521.16,3302.38,2954.43,3869.11,3998.28,4346.23,9.13,12.77,-1.59,4.93,3554.65,3637.375,3596.0125,3622.6,3427.1,11.09,,,3465.3,3602.15,3739
05-05-2022,138,3512.1,3533,3485.35,3513.4,1612260,3723.583836,-1,3637.897394,3723.583836,3431.55,3779.5,3739.95,3552.5,3423.607912,3605.48,3787.352088,10.08864773,0.246855053,-42.50983322,-9.426423374,-33.08340984,3545.45,3465.3,3623.25,3465.3,3639.72,3632.7,3588.63,3566.05,3535.09,2160405.33,40.87,3496.83,3448.21,3416.68,3336.53,3528.36,3576.98,3657.13,3650.33,3521.16,3302.38,2954.43,3869.11,3998.28,4346.23,9.51,13.17,-1.02,5.54,3544.275,3637.375,3590.825,3622.6,3359.9,10.62,,,3465.3,3602.15,3739
